id,gnrl_p_,edt_g__,zoning
374,General Commercial,General Commercial,0
375,Schools,Schools,0
376,General Commercial,General Commercial,0
377,Business Park,Business Park,0
378,Business Park,Business Park,0
379,Residential Rural,Residential Rural_Remove,3
380,Highway Commercial,Highway Commercial,0
381,Residential High Density,Residential High Density,2
382,General Commercial,General Commercial,0
383,Open Space,Open Space,0
384,Open Space,Open Space,0
385,Open Space,Open Space,0
386,Highway Commercial,Highway Commercial,0
387,Residential Golf Course,Residential Golf Course,1
388,Business Park,Business Park,0
389,Residential Low Density,Residential Low Density,1
390,Residential Low Density,Residential Low Density,1
391,Residential Low Density,Residential Low Density,1
392,Residential Estate,Residential Estate,1
393,Residential Estate,Residential Estate,1
394,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
395,Residential Estate,Residential Estate,1
396,Residential Low Density,Residential Low Density,1
397,Residential Medium Density,Residential Medium Density,2
398,Residential Low Density,Residential Low Density,1
399,Residential Medium Density,Residential Medium Density,2
400,Residential Low Medium Density,Residential Low Medium Density,2
401,Residential Medium Density,Residential Medium Density,2
402,Neighborhood Commercial,Neighborhood Commercial,0
403,Highway Commercial,Highway Commercial,0
404,Highway Commercial,Highway Commercial,0
405,General Commercial,General Commercial,0
406,General Commercial,General Commercial,0
407,Open Space,Open Space,0
408,Residential High Density,Residential High Density,2
409,Commercial Offices,Commercial Offices,0
410,Service Commercial,Service Commercial,0
411,Public/Institutional,Public/Institutional,0
412,Residential Low Density,Residential Low Density,1
413,Residential Low Density,Residential Low Density,1
414,Open Space,Open Space,0
415,Residential Low Density,Residential Low Density,1
416,Residential Low Density,Residential Low Density,1
417,Public/Institutional,Public/Institutional,0
418,Neighborhood Commercial,Neighborhood Commercial,0
419,Residential Medium Density,Residential Medium Density,2
420,Industrial Park,Industrial Park,0
421,Residential Low Density,Residential Low Density,1
422,General Commercial,General Commercial,0
423,Residential High Density,Residential High Density,2
424,Residential Medium Density,Residential Medium Density,2
425,Residential Low Density,Residential Low Density,1
426,Residential Low Density,Residential Low Density,1
427,Residential Low Density,Residential Low Density,1
428,Residential Low Density,Residential Low Density,1
429,Public/Institutional,Public/Institutional,0
430,Residential Low Density,Residential Low Density,1
431,Residential Low Density,Residential Low Density,1
432,Residential Low Density,Residential Low Density,1
433,Residential Low Density,Residential Low Density,1
434,Residential Low Medium Density,Residential Low Medium Density,2
435,Residential Low Density,Residential Low Density,1
436,Residential Low Density,Residential Low Density,1
437,Residential Low Density,Residential Low Density,1
438,Residential Low Density,Residential Low Density,1
439,Residential Low Density,Residential Low Density,1
440,Residential Low Density,Residential Low Density,1
441,Open Space,Open Space,0
442,Open Space,Open Space,0
443,Residential Low Density,Residential Low Density,1
444,Residential Low Density,Residential Low Density,1
445,Neighborhood Commercial,Neighborhood Commercial,0
446,Residential Low Medium Density,Residential Low Medium Density,2
447,Residential Low Medium Density,Residential Low Medium Density,2
448,Residential Low Density,Residential Low Density,1
449,General Commercial,General Commercial,0
450,General Commercial,General Commercial,0
451,Residential Low Density,Residential Low Density,1
452,Residential Low Density,Residential Low Density,1
453,Residential Low Density,Residential Low Density,1
454,Open Space,Open Space,0
455,Residential Low Density,Residential Low Density,1
456,Residential Low Medium Density,Residential Low Medium Density,2
457,Residential High Density,Residential High Density,2
458,Residential Low Medium Density,Residential Low Medium Density,2
459,Residential Manufactured Home Park,Residential Manufactured Home Park,2
460,Residential Low Medium Density,Residential Low Medium Density,2
461,Residential Low Medium Density,Residential Low Medium Density,2
462,Residential Low Density,Residential Low Density,1
463,Residential Low Density,Residential Low Density,1
464,Residential Low Density,Residential Low Density,1
465,Residential Low Density,Residential Low Density,1
466,Residential Low Density,Residential Low Density,1
467,Residential Low Density,Residential Low Density,1
468,Service Commercial,Service Commercial,0
469,Service Commercial,Service Commercial,0
470,Highway Commercial,Highway Commercial,0
471,Residential Low Density,Residential Low Density,1
472,Highway Commercial,Highway Commercial,0
473,Residential Medium Density,Residential Medium Density,2
474,General Commercial,General Commercial,0
475,General Commercial,General Commercial,0
476,Residential High Density,Residential High Density,2
477,Residential Low Density,Residential Low Density,1
478,Residential Low Density,Residential Low Density,1
479,Residential Low Medium Density,Residential Low Medium Density,2
480,General Commercial,General Commercial,0
481,Residential Low Medium Density,Residential Low Medium Density,2
482,Residential Low Density,Residential Low Density,1
483,Residential Medium Density,Residential Medium Density,2
484,Commercial Offices,Commercial Offices,0
485,Neighborhood Commercial,Neighborhood Commercial,0
486,Residential Low Density,Residential Low Density,1
487,Residential Low Density,Residential Low Density,1
488,Residential Low Density,Residential Low Density,1
489,Residential Low Density,Residential Low Density,1
490,Residential Medium Density,Residential Medium Density,2
491,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
492,Residential Low Medium Density,Residential Low Medium Density,2
493,Residential Low Density,Residential Low Density,1
494,Residential Low Density,Residential Low Density,1
495,Residential Low Density,Residential Low Density,1
496,Residential Low Density,Residential Low Density,1
497,Residential Estate,Residential Estate,1
498,Residential Low Density,Residential Low Density,1
499,Residential Low Density,Residential Low Density,1
500,Residential Low Density,Residential Low Density,1
501,Open Space,Open Space,0
502,Open Space,Open Space,0
503,Open Space,Open Space,0
504,Residential Low Density,Residential Low Density,1
505,Residential Medium Density,Residential Medium Density,2
506,Residential Medium Density,Residential Medium Density,2
507,Residential Low Density,Residential Low Density,1
508,Residential Low Density,Residential Low Density,1
509,Residential Low Density,Residential Low Density,1
510,Residential Low Density,Residential Low Density,1
511,Residential Low Medium Density,Residential Low Medium Density,2
512,Residential Low Medium Density,Residential Low Medium Density,2
513,Residential Low Density,Residential Low Density,1
514,Residential Low Density,Residential Low Density,1
515,Residential Medium Density,Residential Medium Density,2
516,Residential Low Medium Density,Residential Low Medium Density,2
517,Residential Medium Density,Residential Medium Density,2
518,Residential Low Medium Density,Residential Low Medium Density,2
519,Residential Low Density,Residential Low Density,1
520,Residential Estate,Residential Estate,1
521,Open Space,Open Space,0
522,Residential Medium Density,Residential Medium Density,2
523,Residential Low Density,Residential Low Density,1
524,Residential Low Density,Residential Low Density,1
525,Public Park,Public Park,0
526,Residential Estate,Residential Estate,1
528,Agricultural Buffer,Agricultural Buffer,0
530,Agricultural Buffer,Agricultural Buffer,0
531,Residential Rural,Residential Rural_Remove,3
532,Residential Rural,Residential Rural_Remove,3
533,Highway Commercial,Highway Commercial,0
534,Industrial Park,Industrial Park,0
535,Industrial Park,Industrial Park,0
536,Industrial Park,Industrial Park,0
537,Public Park,Public Park,0
538,Public Park,Public Park,0
539,Schools,Schools,0
541,Open Space,Open Space,0
544,Residential Manufactured Home Park,Residential Manufactured Home Park,2
545,Residential Estate,Residential Estate,1
546,Residential Estate,Residential Estate,1
548,Schools,Schools,0
549,Agricultural Buffer,Agricultural Buffer,0
557,Residential High Density,Residential High Density,2
558,Public Park,Public Park,0
559,Schools,Schools,0
560,Public Park,Public Park,0
561,Highway Commercial,Highway Commercial,0
562,Open Space,Open Space,0
563,Private Recreation,Private Recreation,0
564,Open Space,Open Space,0
565,Open Space,Open Space,0
568,Private Recreation,Private Recreation,0
569,Highway Commercial,Highway Commercial,0
570,General Commercial,General Commercial,0
571,Schools,Schools,0
572,General Commercial,General Commercial,0
573,Residential Manufactured Home Park,Residential Manufactured Home Park,2
574,Commercial Offices,Commercial Offices,0
575,Public Park,Public Park,0
576,Residential Medium Density,Residential Medium Density,2
577,Open Space,Open Space,0
578,Open Space,Open Space,0
579,Highway Commercial,Highway Commercial,0
580,Schools,Schools,0
581,Public Park,Public Park,0
582,Residential High Density,Residential High Density,2
583,Commercial Offices,Commercial Offices,0
584,Residential High Density,Residential High Density,2
585,Public Park,Public Park,0
586,Schools,Schools,0
587,Residential Manufactured Home Park,Residential Manufactured Home Park,2
588,Open Space,Open Space,0
589,Neighborhood Commercial,Neighborhood Commercial,0
590,Residential High Density,Residential High Density,2
591,Open Space,Open Space,0
592,Residential Low Medium Density,Residential Low Medium Density_NonRes,0
593,Neighborhood Commercial,Neighborhood Commercial,0
594,Public Park,Public Park,0
595,Residential Manufactured Home Park,Residential Manufactured Home Park,2
596,Residential Low Medium Density,Residential Low Medium Density,2
597,Public/Institutional,Public/Institutional,0
598,Residential Low Density,Residential Low Density,1
599,General Commercial,General Commercial,0
600,Schools,Schools,0
601,Public Park,Public Park,0
602,Schools,Schools,0
603,Public Park,Public Park,0
604,Residential High Density,Residential High Density,2
605,Public Park,Public Park,0
607,Neighborhood Commercial,Neighborhood Commercial,0
608,Residential High Density,Residential High Density,2
609,Residential High Density,Residential High Density,2
610,Residential High Density,Residential High Density,2
611,Residential Medium Density,Residential Medium Density,2
612,Neighborhood Commercial,Neighborhood Commercial,0
613,Schools,Schools,0
614,Public Park,Public Park,0
615,Public Park,Public Park,0
616,Highway Commercial,Highway Commercial,0
617,Service Commercial,Service Commercial,0
620,Schools,Schools,0
621,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
622,Residential Medium Density,Residential Medium Density,2
623,Residential High Density,Residential High Density,2
624,Schools,Schools,0
625,Residential High Density,Residential High Density,2
626,Residential Medium Density,Residential Medium Density,2
627,Public/Institutional,Public/Institutional,0
628,Public Park,Public Park,0
629,Residential High Density,Residential High Density,2
630,Neighborhood Commercial,Neighborhood Commercial,0
631,Public Park,Public Park,0
632,Residential High Density,Residential High Density,2
633,General Commercial,General Commercial,0
634,Public Park,Public Park,0
635,Residential High Density,Residential High Density,2
636,Open Space,Open Space,0
637,Commercial Offices,Commercial Offices,0
638,Residential Low Medium Density,Residential Low Medium Density_NonRes,0
639,Public Park,Public Park,0
640,Residential High Density,Residential High Density,2
641,Professional Office Restriction Commercial,Professional Office Restriction Commercial,0
642,General Commercial,General Commercial,0
643,Highway Commercial,Highway Commercial,0
644,Residential Manufactured Home Park,Residential Manufactured Home Park,2
645,General Commercial,General Commercial,0
646,General Commercial,General Commercial,0
647,General Commercial,General Commercial,0
648,General Commercial,General Commercial,0
649,Open Space,Open Space,0
650,Private Recreation,Private Recreation,0
651,Residential Estate,Residential Estate,1
652,Residential High Density,Residential High Density,2
653,Residential Manufactured Home Park,Residential Manufactured Home Park,2
654,Highway Commercial,Highway Commercial,0
655,Highway Commercial,Highway Commercial,0
656,Highway Commercial,Highway Commercial,0
657,General Commercial,General Commercial,0
658,General Commercial,General Commercial,0
659,General Commercial,General Commercial,0
660,Residential Medium Density,Residential Medium Density,2
661,Schools,Schools,0
662,Residential Medium Density,Residential Medium Density,2
663,Neighborhood Commercial,Neighborhood Commercial,0
9999,Open Space,Open Space,0
9998,Residential Low Density,Residential Low Density,1
