OBJECTID,GeneralPla,GeneralP_1,SHAPESTAre,SHAPESTLen,zoning
199,RES-LD,Residential Low Density,49271.2978515625,1071.776524265472,1
200,RES-LD,Residential Low Density,357776.001953125,4907.988948750893,1
201,RES-LD,Residential Low Density,1323523.35546875,7149.173478863899,1
202,RES-LD,Residential Low Density,179207.1806640625,3595.687145326855,1
203,RES-LD,Residential Low Density,356174.14453125,5027.5713703676365,1
204,RES-LD,Residential Low Density,1191583.8076171875,13125.895875095319,1
205,RES-LD,Residential Low Density,49232.865234375,863.7081090092581,1
206,RES-LD,Residential Low Density,110732.3974609375,2193.4999597960664,1
207,RES-LD,Residential Low Density,1545072.4384765625,8288.972633487361,1
208,RES-LD,Residential Low Density,10129.62890625,501.92668613887463,1
209,RES-LD,Residential Low Density,44424.849609375,1048.9386630361607,1
210,RES-LD,Residential Low Density,46168.6005859375,887.9198134969647,1
211,RES-LD,Residential Low Density,676239.2373046875,10925.470397342495,1
212,RES-LD,Residential Low Density,206670.2822265625,3074.1274836555467,1
213,RES-LD,Residential Low Density,174216.6650390625,3713.1539864821543,1
214,RES-LD,Residential Low Density,2977.5595703125,307.1107492177769,1
215,RES-LD,Residential Low Density,73767.5478515625,1137.8832332751697,1
216,RES-LD,Residential Low Density,130913.630859375,1702.06864027861,1
217,RES-LD,Residential Low Density,107101.541015625,2285.359442078848,1
218,RES-LD,Residential Low Density,30268.2607421875,710.5027276670174,1
219,RES-LD,Residential Low Density,137202.8486328125,1736.5980506521055,1
220,RES-LD,Residential Low Density,127193.119140625,1632.3910094299506,1
221,RES-LD,Residential Low Density,132495.59765625,2074.673669427871,1
222,RES-LD,Residential Low Density,111874.6318359375,1527.2990984255855,1
223,RES-LD,Residential Low Density,110188.8818359375,2127.252061974843,1
224,RES-LD,Residential Low Density,130980.3486328125,2004.177933633609,1
225,RES-LD,Residential Low Density,513763.001953125,4768.271220467374,1
226,RES-LD,Residential Low Density,410073.634765625,7512.991755280109,1
227,RES-LD,Residential Low Density,252285.412109375,2292.0702320693613,1
228,RES-LD,Residential Low Density,350468.0322265625,3241.231693454317,1
229,RES-LD,Residential Low Density,85444.15625,1276.4790624394384,1
230,RES-LD,Residential Low Density,138009.140625,1646.1284888035216,1
231,RES-LD,Residential Low Density,83813.455078125,1413.8843970980495,1
232,RES-LD,Residential Low Density,55188.3388671875,1373.979844727817,1
233,RES-LD,Residential Low Density,222867.02734375,2280.7804210669974,1
234,RES-LD,Residential Low Density,52507.544921875,1160.2326861150234,1
235,RES-LD,Residential Low Density,280592.361328125,2750.266685505368,1
236,RES-LD,Residential Low Density,62583.2197265625,1673.044167466124,1
237,RES-LD,Residential Low Density,848428.8779296875,9185.408150216908,1
238,RES-LD,Residential Low Density,659599.5146484375,10108.391257940071,1
239,RES-LD,Residential Low Density,462332.125,3859.644807007096,1
240,RES-LD,Residential Low Density,2877536.185546875,25868.74985648819,1
241,RES-LD,Residential Low Density,1236509.19921875,13389.866492480967,1
242,RES-MD,Residential Medium Density,22602.2822265625,652.5036715885532,2
243,RES-MD,Residential Medium Density,68163.978515625,1160.238498266911,2
244,RES-MD_OS,Residential Medium Density,440830.97265625,2812.8647295672267,2
245,RES-MHP,Residential Mobile Home Park,80122.8173828125,1218.5817849936702,2
246,RES-MHP,Residential Mobile Home Park,409983.8251953125,2881.6931169243494,2
247,RES-MHP,Residential Mobile Home Park,20449.068359375,625.6999122496406,2
248,ROAD,NA,70195.771484375,2525.3788113664905,0
