OBJECTID,ZONING_,ZONING_REP,ZONING_DET,PD_Type,SDD,SDD_SECTIO,Comment,Applicatio,Resolution,Ordinance,OrdinanceU,Zoning
39,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
40,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
41,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
42,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
43,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
44,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
45,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
46,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
47,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
48,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
49,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
50,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
51,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
52,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
53,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
54,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
55,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
56,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
57,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
58,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
59,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
60,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
61,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
62,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
63,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
64,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
65,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
66,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
67,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
68,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
69,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
70,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
71,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
72,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
73,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
74,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
75,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
76,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
77,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
78,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
79,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
80,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
81,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
82,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
83,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
84,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
85,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
86,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
87,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
88,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
89,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
90,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
91,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
92,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
93,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
94,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
95,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
96,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
97,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
98,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
99,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
100,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
101,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
102,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
103,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
104,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
105,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
106,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
107,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
108,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
109,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
110,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
111,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
112,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
113,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
114,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
115,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
116,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
117,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
118,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
119,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
120,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
121,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
122,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
123,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
124,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
125,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
126,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
127,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
128,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
129,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
130,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
131,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
132,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
133,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
134,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
135,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
136,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
137,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
138,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
139,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
140,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
141,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
142,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
143,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
144,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
145,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
146,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
147,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
148,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
149,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
150,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
151,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
152,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
153,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
154,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
155,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
156,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
157,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
158,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
159,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
160,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
161,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
162,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
163,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
164,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
165,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
166,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
167,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
168,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
169,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
170,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
171,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
172,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
173,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
174,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
175,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
176,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
177,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
178,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
179,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
180,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
181,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
182,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
183,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
184,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
185,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
186,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
187,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
188,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
189,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
190,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
191,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
192,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
193,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
194,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
195,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
196,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
197,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
198,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
199,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
200,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
201,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
202,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
203,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
204,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
205,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
206,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
207,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
208,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
209,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
210,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
211,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
212,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
213,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
214,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
215,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
216,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
217,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
218,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
219,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
220,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
221,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
222,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
223,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
224,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
225,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
226,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
227,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
228,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
229,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
230,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
231,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
232,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
233,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
234,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
235,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
236,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
237,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
238,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
239,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
240,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
241,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
242,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
243,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
244,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
245,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
246,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
247,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
248,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
249,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
250,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
251,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
252,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
253,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
254,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
255,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
256,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
257,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
258,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
259,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
260,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
261,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
262,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
263,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
264,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
265,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
266,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
267,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
268,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
269,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
270,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
271,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
272,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
273,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
274,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
275,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
276,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
277,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
278,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
279,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
280,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
281,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
282,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
283,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
284,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
285,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
286,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
287,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
288,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
289,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
290,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
291,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
292,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
293,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
294,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
295,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
296,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
297,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
298,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
299,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
300,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
301,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
302,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
303,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
304,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
305,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
306,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
307,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
308,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
309,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
310,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
311,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
312,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
313,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
314,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
315,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
316,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
317,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
318,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
319,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
320,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
321,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
322,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
323,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
324,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
325,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
326,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
327,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
328,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
329,County,Alameda County,Alameda County,NA,NA,NA,NA,NA,NA,NA,NA,9
